year,solid,liquid,gas,other
1959,0,0,0,109736.8
1960,97208.503,19460.769,0,3912.689
1961,104956.874,21327.272,3.667,4114.374
1962,114227.05,24906.264,11.001,4323.393
1963,122144.103,27128.466,11.001,4800.103
1964,117167.984,28144.225,22.002,5313.483
1965,128818.043,30839.47,282.359,6032.215
1966,129404.763,35705.579,311.695,6343.91
1967,131740.642,32724.308,487.711,7286.329
1968,136973.451,42284.177,751.735,7326.666
1969,136463.738,45386.459,997.424,7876.716
1970,136669.09,49372.488,924.084,8177.41
1971,140449.767,55489.044,1085.432,8844.804
1972,148641.845,58925.023,1206.443,9075.825
1973,152440.857,61799.951,1169.773,8932.812
1974,161102.311,60677.849,1360.457,8852.138
1975,178465.556,61887.959,1734.491,10113.586
1976,186855.652,63490.438,2295.542,11144.013
1977,196356.849,68613.237,2482.559,11598.721
1978,193236.232,75378.852,2742.916,11738.067
1979,199800.162,82731.187,3032.609,11327.363
1980,218289.176,83244.567,2489.893,9992.575
1981,232634.48,89786.495,2885.929,13531.23
1982,235751.43,94483.922,4363.73,15038.367
1983,257207.047,99251.022,5247.477,16963.542
1984,256073.944,106192.653,6175.228,19677.122
1985,280184.469,116856.289,7205.655,22427.372
1986,302175.468,121957.086,10318.938,23120.435
1987,322846.347,127776.615,12786.829,25071.279
1988,350847.559,133724.489,15218.05,27773.858
1989,375687.817,150838.378,18533.018,33949.086
1990,405430.854,158297.056,21114.586,34312.119
1991,434774.188,166558.807,23582.477,33274.358
1992,455096.702,188208.775,27278.813,28503.591
1993,479108.218,187031.668,27018.456,30538.776
1994,504106.157,199118.1,29024.305,32482.286
1995,521810.433,216459.343,39082.886,34209.443
1996,558066.062,243360.455,39779.616,41118.071
1997,583753.397,244401.883,46061.187,43468.618
1998,579774.702,263107.25,47634.33,45705.488
1999,620042.029,285483.284,42350.183,47891.02
2000,633701.604,303752.278,43908.658,50490.923
2001,643881.196,298068.428,43604.297,55599.054
2002,662153.857,284834.225,47172.288,60098.463
2003,692344.268,293851.378,50028.881,63373.094
2004,741104.367,296858.318,49625.511,66732.066
2005,798071.212,300011.938,50479.922,74000.06
2006,855698.117,316902.14,49482.498,81634.754
2007,931927.713,335739.519,52738.794,87201.26
2008,1007497.249,403403.003,63098.069,94381.246
2009,1088420.605,454836.345,91245.961,104142.8
2010,1093532.403,414257.323,100318.119,111583.143
2011,1210839.733,417726.305,91443.979,121766.402
2012,1365785.151,437836.133,78151.104,136731.429
2013,1329932.892,461172.921,101883.928,141762.553
2014,1492751.359,514109.733,92694.426,138821.619
