Year,Population,Agriculture (%GDP),CO2 emissions from solid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Renewable energy consumption (% of total final energy consumption),"Electricity production from renewable sources, excluding hydroelectric (kWh)","Electricity production from renewable sources, excluding hydroelectric (kWh)",Access to electricity (% of population)
1959,440813896,,,,,,,,,,
1960,449480608,44.13976717,97208.503,19460.769,19460.769,,,,,,
1961,458494963,43.32340976,104956.874,21327.272,21327.272,,,,,,
1962,467852537,41.36831481,114227.05,24906.264,24906.264,,,,,,
1963,477527970,42.59932816,122144.103,27128.466,27128.466,,,,,,
1964,487484535,44.5525256,117167.984,28144.225,28144.225,,,,,,
1965,497702365,42.43109775,128818.043,30839.47,30839.47,,,,,,
1966,508161935,43.36506005,129404.763,35705.579,35705.579,,,,,,
1967,518889779,46.17772152,131740.642,32724.308,32724.308,,,,,,
1968,529967317,45.13632114,136973.451,42284.177,42284.177,,,,,,
1969,541505076,44.89060014,136463.738,45386.459,45386.459,,,,,,
1970,553578513,43.51067865,136669.09,49372.488,49372.488,,,,,,
1971,566224812,41.7756011,140449.767,55489.044,55489.044,268.1234163,98.05645889,,0,0,
1972,579411513,41.77121685,148641.845,58925.023,58925.023,268.0818374,100.5951706,,0,0,
1973,593058926,44.91596938,152440.857,61799.951,61799.951,269.3777667,100.9225178,,0,0,
1974,607050255,41.80497236,161102.311,60677.849,60677.849,273.5007796,104.292848,,0,0,
1975,621301720,39.01327372,178465.556,61887.959,61887.959,276.7076518,114.8910388,,0,0,
1976,635771734,37.07943961,186855.652,63490.438,63490.438,281.2676538,124.4865032,,0,0,
1977,650485030,38.46614846,196356.849,68613.237,68613.237,282.7814992,126.630124,,0,0,
1978,665502284,36.78337959,193236.232,75378.852,75378.852,280.219429,136.3256028,,0,0,
1979,680915804,34.87254905,199800.162,82731.187,82731.187,286.4098231,136.1563345,,0,0,
1980,696783517,36.70204813,218289.176,83244.567,83244.567,287.0547568,142.148885,,0,0,
1981,713118032,35.33244622,232634.48,89786.495,89786.495,294.6755482,152.3618744,,0,0,
1982,729868013,34.09886606,235751.43,94483.922,94483.922,299.052474,158.6136095,,0,0,
1983,746949067,34.78906383,257207.047,99251.022,99251.022,301.700567,166.2375729,,0,0,
1984,764245202,33.40515117,256073.944,106192.653,106192.653,307.1032391,183.9226463,,0,0,
1985,781666671,32.03845645,280184.469,116856.289,116856.289,315.9830707,194.2017047,,0,0,
1986,799181436,30.84142377,302175.468,121957.086,121957.086,319.982031,208.7035465,,2000000,2000000,
1987,816792741,30.26484638,322846.347,127776.615,127776.615,325.0288411,220.9997603,,3000000,3000000,
1988,834489322,31.31933343,350847.559,133724.489,133724.489,335.4503175,240.8826509,,6000000,6000000,
1989,852270034,30.04540935,375687.817,150838.378,150838.378,343.9332997,257.9640152,,6000000,6000000,
1990,870133480,30.09983944,405430.854,158297.056,158297.056,351.340769,273.0466135,58.65285835,32000000,32000000,43.29156113
1991,888054875,30.47961223,434774.188,166558.807,166558.807,358.6618665,291.9538052,57.60479334,39000000,39000000,44.93899536
1992,906021106,29.80148425,455096.702,188208.775,188208.775,364.3951392,305.5359287,57.23056748,88000000,88000000,46.58592224
1993,924057817,29.74062999,479108.218,187031.668,187031.668,365.8344205,321.7114714,56.98336334,99000000,99000000,50.9
1994,942204249,29.3206319,504106.157,199118.1,199118.1,372.564551,342.4618392,55.55718746,200000000,200000000,49.86753464
1995,960482795,27.23028174,521810.433,216459.343,216459.343,386.4709924,360.0470532,54.484117,530000000,530000000,51.49610519
1996,978893217,28.13360613,558066.062,243360.455,243360.455,390.8077708,361.0925011,53.7674097,924000000,924000000,53.1124382
1997,997405318,26.84718426,583753.397,244401.883,244401.883,398.7705197,376.8006779,52.4880731,1039000000,1039000000,54.71347427
1998,1015974042,26.74759499,579774.702,263107.25,263107.25,400.8788435,387.1969004,52.71225571,1129000000,1129000000,56.29615784
1999,1034539214,25.41109292,620042.029,285483.284,285483.284,416.3739694,393.3731989,51.7172937,2421000000,2421000000,60.1
2000,1053050912,23.87575713,633701.604,303752.278,303752.278,418.6842801,394.9638097,51.57934762,2964000000,2964000000,59.39574432
2001,1071477855,23.77251825,643881.196,298068.428,298068.428,417.3819934,395.1047593,51.78721923,3983000000,3983000000,55.8
2002,1089807112,21.46336794,662153.857,284834.225,284834.225,422.6273282,411.9673978,50.56944266,5178000000,5178000000,62.3
2003,1108027848,21.51212494,692344.268,293851.378,293851.378,425.6327906,431.8411318,50.84279906,6862000000,6862000000,63.92449188
2004,1126135777,19.73431131,741104.367,296858.318,296858.318,441.0647829,453.0102057,49.72402461,8547000000,8547000000,64.4
2005,1144118674,19.50824595,798071.212,300011.938,300011.938,451.1383065,469.4539231,48.57530875,11025000000,11025000000,66.93244934
2006,1161977719,18.96655429,855698.117,316902.14,316902.14,467.5457576,510.7516179,47.44372171,15353000000,15353000000,67.9
2007,1179681239,18.93341592,931927.713,335739.519,335739.519,486.5504816,543.3586454,45.86780352,19258000000,19258000000,69.98802185
2008,1197146906,18.44397514,1007497.249,403403.003,403403.003,503.0355807,562.8991702,43.63288301,23259000000,23259000000,71.5473175
2009,1214270132,18.39450669,1088420.605,454836.345,454836.345,546.1767267,600.2017021,40.77082759,30514000000,30514000000,75
2010,1230980691,18.88068634,1093532.403,414257.323,414257.323,563.1592957,642.1116154,39.48150873,34065000000,34065000000,76.3
2011,1247236029,18.52667235,1210839.733,417726.305,417726.305,579.4087432,698.5478127,38.93174021,42495000000,42495000000,67.6
2012,1263065852,18.20235301,1365785.151,437836.133,437836.133,600.4432348,724.7911885,38.39089015,52150000000,52150000000,79.9
2013,1278562207,18.58866637,1329932.892,461172.921,461172.921,606.8742801,765.5638456,37.84984118,59494000000,59494000000,79.59911346
2014,1293859294,18.0194629,1492751.359,514109.733,514109.733,637.4286299,805.5991906,36.65183786,66740000000,66740000000,81.23950958
2015,1309053980,17.46214981,,,,,,36.02122257,,,88
2016,1324171354,17.35259534,,,,,,,,,84.52681732
